epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1103.86,0.8012,0.37929,0.00247,0.93749,0.8574,0.92196,0.72139,0.87552,0.59998,0.00685,0.00998459,0.0033282,0.00998459,0.0033282,0.00998459,0.0033282,0.00998459,0.0033282
2,2207.72,0.84715,0.39802,0.0027,0.93758,0.82607,0.90669,0.71862,0.88565,0.66722,0.00687,0.0195889,0.00652963,0.0195889,0.00652963,0.0195889,0.00652963,0.0195889,0.00652963
3,3243.31,0.90302,0.44004,0.00294,0.9025,0.70009,0.78463,0.55833,1.19606,1.16128,0.0101,0.0287972,0.00959907,0.0287972,0.00959907,0.0287972,0.00959907,0.0287972,0.00959907
4,4257.38,0.99973,0.50353,0.00336,0.91374,0.84055,0.90783,0.6838,0.98313,0.67976,0.00775,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,5441.5,0.99861,0.51693,0.00337,0.9029,0.66205,0.76348,0.55486,1.17571,1.26804,0.01038,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,6830.3,1.00062,0.5076,0.00337,0.94603,0.89226,0.94237,0.72997,0.95127,0.49704,0.0071,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,8436.08,0.99756,0.4991,0.00335,0.93638,0.83488,0.91207,0.71312,0.90844,0.64533,0.00671,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,10041.4,0.99117,0.49853,0.00331,0.89399,0.81033,0.89255,0.6581,0.98189,0.73489,0.00848,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,11573.1,0.98036,0.48647,0.00328,0.93408,0.84866,0.92409,0.71412,0.9381,0.60105,0.00738,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,12861.2,0.97473,0.48273,0.00326,0.92908,0.82407,0.90449,0.69762,0.93659,0.70821,0.00695,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,14053.9,0.97149,0.46882,0.00321,0.94059,0.87242,0.93215,0.7267,0.91136,0.55146,0.00636,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,14925,0.9635,0.46612,0.00319,0.92387,0.85096,0.9155,0.71077,0.93396,0.59972,0.00781,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,15475.9,0.95765,0.46501,0.00316,0.92677,0.86065,0.92265,0.73509,0.86609,0.55591,0.0065,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,16024.5,0.95206,0.46694,0.00313,0.92339,0.82948,0.91212,0.72328,0.90477,0.62499,0.00747,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,16576.6,0.94495,0.45208,0.00314,0.92948,0.87394,0.93376,0.7404,0.87245,0.55095,0.00693,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,17121.9,0.93375,0.44653,0.00305,0.92922,0.80752,0.89244,0.70278,0.90929,0.72689,0.0071,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,17666.5,0.93232,0.44072,0.00304,0.94307,0.85693,0.92575,0.74381,0.83935,0.59281,0.00623,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,18212.8,0.92433,0.43103,0.00304,0.93024,0.82123,0.90957,0.72713,0.85282,0.65841,0.00697,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,18758,0.91116,0.4269,0.00295,0.93277,0.85073,0.92056,0.74,0.85633,0.61159,0.00669,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,19303.1,0.91085,0.425,0.00293,0.93631,0.86586,0.93425,0.74523,0.86052,0.55544,0.00694,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,19852.2,0.90627,0.42015,0.00291,0.92643,0.84655,0.92439,0.74372,0.84491,0.56946,0.00696,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,20407.6,0.89889,0.41859,0.00287,0.93665,0.84131,0.92086,0.74203,0.83463,0.5974,0.0067,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,20957.4,0.89286,0.41178,0.00286,0.93923,0.8707,0.93488,0.75865,0.82528,0.51915,0.00665,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,21508.2,0.88585,0.40643,0.00283,0.92766,0.87677,0.93748,0.75903,0.81581,0.51395,0.00677,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,22054.4,0.87528,0.40061,0.00281,0.93785,0.85982,0.93243,0.75328,0.83194,0.55389,0.00669,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,22603.9,0.86178,0.39404,0.00276,0.92168,0.83364,0.91299,0.73355,0.86448,0.63355,0.00701,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,23156.3,0.85369,0.38785,0.00274,0.94379,0.88588,0.94028,0.76389,0.81121,0.50236,0.00629,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,23708.5,0.84782,0.38592,0.00271,0.93363,0.86052,0.92319,0.75209,0.82621,0.5807,0.00674,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,24259.3,0.84385,0.38537,0.00267,0.94443,0.87435,0.93665,0.76298,0.81524,0.52466,0.00627,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
