epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,801.216,0.80435,0.37938,0.00251,0.93242,0.8012,0.87546,0.69616,0.90202,0.80728,0.00773,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077
2,1514.74,0.86078,0.40449,0.00275,0.91159,0.84728,0.92037,0.70825,0.95803,0.61699,0.00841,0.0196324,0.00654414,0.0196324,0.00654414,0.0196324,0.00654414,0.0196324,0.00654414
3,2197.1,0.93041,0.45548,0.00306,0.91205,0.75365,0.84306,0.631,1.06149,0.9741,0.00972,0.0289126,0.00963752,0.0289126,0.00963752,0.0289126,0.00963752,0.0289126,0.00963752
4,2865.81,1.01266,0.51616,0.00346,0.93358,0.84501,0.9081,0.68624,1.00786,0.66511,0.00771,0.02838,0.00946,0.02838,0.00946,0.02838,0.00946,0.02838,0.00946
5,3529.14,1.00866,0.52067,0.00344,0.90097,0.76152,0.86302,0.63538,1.08773,0.84417,0.00905,0.02784,0.00928,0.02784,0.00928,0.02784,0.00928,0.02784,0.00928
6,4199.79,1.00774,0.51478,0.00342,0.93912,0.86629,0.92598,0.72839,0.93296,0.57106,0.00729,0.0273,0.0091,0.0273,0.0091,0.0273,0.0091,0.0273,0.0091
7,4881.76,1.00922,0.514,0.00343,0.93218,0.85778,0.93176,0.7353,0.89402,0.56729,0.00669,0.02676,0.00892,0.02676,0.00892,0.02676,0.00892,0.02676,0.00892
8,5556.81,1.00344,0.50743,0.0034,0.93978,0.74496,0.8201,0.64201,0.96291,1.08761,0.00786,0.02622,0.00874,0.02622,0.00874,0.02622,0.00874,0.02622,0.00874
9,6217.93,0.99428,0.49719,0.00332,0.91461,0.84246,0.91975,0.70686,0.9527,0.62801,0.00799,0.02568,0.00856,0.02568,0.00856,0.02568,0.00856,0.02568,0.00856
10,6890.6,0.98759,0.48892,0.00333,0.92845,0.81532,0.89035,0.66501,1.05721,0.74126,0.0093,0.02514,0.00838,0.02514,0.00838,0.02514,0.00838,0.02514,0.00838
11,7553.29,0.9748,0.48403,0.00326,0.94364,0.87084,0.93055,0.74094,0.89939,0.56025,0.00723,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082
12,8215.34,0.97946,0.47474,0.00328,0.94599,0.86471,0.9321,0.73769,0.90797,0.55301,0.00697,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
13,8890.18,0.97488,0.48274,0.00327,0.90501,0.81959,0.89286,0.69645,0.95425,0.73875,0.00823,0.02352,0.00784,0.02352,0.00784,0.02352,0.00784,0.02352,0.00784
14,9571.03,0.96455,0.4668,0.00326,0.93059,0.86538,0.92736,0.74066,0.89004,0.56573,0.00702,0.02298,0.00766,0.02298,0.00766,0.02298,0.00766,0.02298,0.00766
15,10247.7,0.9553,0.46118,0.00322,0.92389,0.82228,0.90206,0.71351,0.88286,0.6796,0.00701,0.02244,0.00748,0.02244,0.00748,0.02244,0.00748,0.02244,0.00748
16,10934.2,0.95184,0.4562,0.00316,0.91443,0.853,0.91738,0.72135,0.92948,0.58264,0.0082,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073
17,11607.5,0.94345,0.45077,0.00313,0.93154,0.83833,0.91941,0.72851,0.88513,0.64131,0.00704,0.02136,0.00712,0.02136,0.00712,0.02136,0.00712,0.02136,0.00712
18,12280.6,0.94262,0.45243,0.00312,0.93914,0.84081,0.91999,0.73054,0.89616,0.63217,0.00732,0.02082,0.00694,0.02082,0.00694,0.02082,0.00694,0.02082,0.00694
19,12941.4,0.93842,0.4468,0.0031,0.93164,0.82899,0.90841,0.70788,0.93318,0.67436,0.00795,0.02028,0.00676,0.02028,0.00676,0.02028,0.00676,0.02028,0.00676
20,13606.4,0.92645,0.43492,0.00304,0.90605,0.83569,0.89454,0.71889,0.89032,0.65627,0.00783,0.01974,0.00658,0.01974,0.00658,0.01974,0.00658,0.01974,0.00658
21,14265.2,0.92375,0.43225,0.003,0.9426,0.86085,0.92803,0.74671,0.85704,0.55449,0.00714,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064
22,14930.2,0.91428,0.42978,0.00298,0.92322,0.8446,0.91977,0.74258,0.84819,0.59277,0.00704,0.01866,0.00622,0.01866,0.00622,0.01866,0.00622,0.01866,0.00622
23,15592.7,0.91238,0.424,0.00296,0.9344,0.81649,0.89431,0.71607,0.87992,0.73247,0.00726,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
24,16250.6,0.90165,0.41404,0.00292,0.94163,0.87132,0.93848,0.77033,0.79644,0.53389,0.00616,0.01758,0.00586,0.01758,0.00586,0.01758,0.00586,0.01758,0.00586
25,16913.6,0.89155,0.40828,0.00288,0.9402,0.88386,0.94011,0.77541,0.79892,0.50521,0.00631,0.01704,0.00568,0.01704,0.00568,0.01704,0.00568,0.01704,0.00568
26,17571.6,0.88898,0.40458,0.00286,0.91465,0.81494,0.88994,0.70973,0.87154,0.74515,0.00756,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055
27,18229.2,0.86784,0.3973,0.00282,0.92853,0.82687,0.90629,0.73444,0.83328,0.69275,0.00662,0.01596,0.00532,0.01596,0.00532,0.01596,0.00532,0.01596,0.00532
28,18947.5,0.87312,0.39904,0.00281,0.93114,0.81506,0.89853,0.72596,0.8429,0.72017,0.00681,0.01542,0.00514,0.01542,0.00514,0.01542,0.00514,0.01542,0.00514
29,20164.5,0.86705,0.3932,0.00278,0.92583,0.83103,0.90236,0.7328,0.84231,0.69892,0.0068,0.01488,0.00496,0.01488,0.00496,0.01488,0.00496,0.01488,0.00496
30,21596.2,0.85684,0.39104,0.00274,0.91306,0.82836,0.89539,0.72789,0.8364,0.72478,0.00678,0.01434,0.00478,0.01434,0.00478,0.01434,0.00478,0.01434,0.00478
31,23014.3,0.84956,0.38236,0.0027,0.93007,0.85066,0.91691,0.74638,0.80925,0.62463,0.00632,0.0138,0.0046,0.0138,0.0046,0.0138,0.0046,0.0138,0.0046
32,24452.4,0.84973,0.38003,0.0027,0.89441,0.80583,0.88563,0.71603,0.84108,0.76618,0.00694,0.01326,0.00442,0.01326,0.00442,0.01326,0.00442,0.01326,0.00442
33,25842.7,0.83248,0.37594,0.00263,0.91835,0.84019,0.91282,0.74614,0.8127,0.6452,0.00654,0.01272,0.00424,0.01272,0.00424,0.01272,0.00424,0.01272,0.00424
34,27462.3,0.82382,0.37043,0.00263,0.93244,0.86175,0.93014,0.76866,0.78383,0.57814,0.00609,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
35,28876.5,0.81643,0.36654,0.00258,0.93962,0.86402,0.93289,0.7704,0.78287,0.55994,0.00594,0.01164,0.00388,0.01164,0.00388,0.01164,0.00388,0.01164,0.00388
