epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1401.97,0.81196,0.43732,0.00254,0.90809,0.84673,0.90203,0.70493,0.89994,0.68505,0.00744,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077
2,3244.45,0.86682,0.40843,0.00276,0.92121,0.84694,0.91637,0.71679,0.92468,0.62936,0.00783,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215
3,6104.62,0.9372,0.46494,0.0031,0.88441,0.80588,0.88027,0.66795,0.96957,0.78793,0.00742,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153
4,8949.9,1.01507,0.52424,0.00347,0.90956,0.86271,0.92105,0.71279,0.96544,0.62256,0.00739,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,11786.4,1.01571,0.52428,0.00346,0.91494,0.81174,0.87856,0.64532,1.0998,0.8085,0.00917,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,14611.3,1.01401,0.51801,0.00344,0.91515,0.87132,0.91738,0.71955,0.94772,0.61948,0.00724,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,17606.5,1.0176,0.51236,0.00346,0.914,0.84773,0.91219,0.71022,0.94413,0.61232,0.0076,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,20454.2,1.00595,0.50567,0.00341,0.91424,0.8012,0.89219,0.69579,0.97073,0.74727,0.0081,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,23592.8,0.99212,0.49111,0.00332,0.9308,0.80933,0.87588,0.64806,1.07892,0.82454,0.0093,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,26610.2,0.99016,0.48579,0.00336,0.90155,0.80919,0.88844,0.67143,1.03891,0.73762,0.00912,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,29476.8,0.98067,0.48157,0.00328,0.92403,0.85716,0.92453,0.72614,0.92019,0.59314,0.00736,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,32321.2,0.97832,0.47219,0.00328,0.92667,0.81263,0.88329,0.69349,0.93625,0.74788,0.00761,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,35159.6,0.9721,0.47246,0.00326,0.92849,0.85038,0.91703,0.72351,0.92219,0.61616,0.00739,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,38017.2,0.96095,0.46643,0.00325,0.90667,0.82448,0.89635,0.69442,0.9768,0.71975,0.00842,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,40852.7,0.95473,0.45124,0.0032,0.92319,0.81473,0.90029,0.7212,0.88801,0.69857,0.0073,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,43716.6,0.94302,0.45092,0.00313,0.93622,0.85443,0.93039,0.75184,0.85788,0.56912,0.00686,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,46570.1,0.93935,0.44021,0.00311,0.93588,0.84756,0.92128,0.74967,0.85774,0.60855,0.00655,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,49419.1,0.93651,0.44002,0.0031,0.93539,0.82972,0.88882,0.69384,0.9494,0.72991,0.00811,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,52274.4,0.93189,0.4389,0.00307,0.92611,0.82278,0.90128,0.71798,0.87297,0.68408,0.00685,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,55082.8,0.91604,0.42371,0.00299,0.93916,0.81032,0.88255,0.71245,0.87388,0.77142,0.00737,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,57943.4,0.91835,0.42365,0.00298,0.92271,0.83116,0.90084,0.71878,0.90499,0.68294,0.00796,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,60785.2,0.90241,0.4175,0.00292,0.93998,0.87876,0.93776,0.76008,0.8404,0.51623,0.0071,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,63639.1,0.90202,0.42053,0.00291,0.92514,0.82494,0.90525,0.73161,0.87784,0.66754,0.00777,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,66491.5,0.89174,0.41327,0.00289,0.92354,0.81292,0.89031,0.72102,0.87073,0.71241,0.00772,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,69343.3,0.88646,0.40443,0.00286,0.9325,0.82036,0.90654,0.7414,0.83792,0.65953,0.00727,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,72187.7,0.87458,0.40207,0.0028,0.92052,0.82814,0.90514,0.73463,0.84623,0.68874,0.00691,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,75024.9,0.85728,0.38938,0.00278,0.90734,0.80292,0.88029,0.71615,0.86953,0.76354,0.00774,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,77854.6,0.86065,0.39111,0.00277,0.91513,0.77247,0.84257,0.67477,0.92056,0.94253,0.00842,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,80678,0.8548,0.38257,0.00274,0.9296,0.78839,0.87315,0.70079,0.91048,0.80345,0.00834,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,83501.8,0.84826,0.38341,0.0027,0.93702,0.85582,0.92556,0.75584,0.82468,0.58688,0.00703,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,86332.8,0.83926,0.37382,0.00266,0.93545,0.84647,0.92042,0.74865,0.83799,0.6089,0.00715,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,89154.7,0.83237,0.37587,0.00264,0.92536,0.82833,0.90539,0.73609,0.83928,0.67516,0.0071,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
