layer,status,mAP50,mAP50-95,delta_vs_V1,latency_no_graph_ms,latency_graph_ms,fps,kernel_count,engine_size_mb,epochs_trained,best_epoch
model.0,ok,0.7038432010219775,0.49816214466425707,0.0092,0.958725,0.743713,1344.6,253,4.57,5,1
model.1,ok,0.7340671233114097,0.5342718960694928,0.0453,1.00009,0.758179,1318.9,236,4.52,6,5
model.2,ok,0.7516429227207225,0.5567603406410466,0.0678,0.966019,0.758049,1319.2,238,4.53,4,0
model.3,ok,0.7657007631545898,0.5768639358761017,0.0879,0.960777,0.756805,1321.3,237,4.53,6,5
model.4,ok,0.7946943513906302,0.620542107521412,0.1315,0.998596,0.761497,1313.2,237,4.53,6,5
model.5,ok,0.7823305801587596,0.5993823995763635,0.1104,0.956619,0.744308,1343.5,244,4.51,5,1
model.6,ok,0.8510892050444827,0.652468172055766,0.1635,0.969986,0.759163,1317.2,238,4.59,6,5
model.7,ok,0.8096952358506636,0.6167831015247648,0.1278,0.966808,0.755325,1323.9,238,4.5,5,4
model.8,ok,0.8590609417218829,0.6674939033950518,0.1785,1.00261,0.765636,1306.1,238,4.62,6,5
model.9,ok,0.8103379423518315,0.6064906921025456,0.1175,0.960892,0.753258,1327.6,235,4.53,6,4
model.10,ok,0.8240660583663167,0.6301441211514218,0.1411,0.994904,0.75209,1329.6,237,4.56,6,4
model.11,no_trainable_params,,,,,,,,,,
model.12,no_trainable_params,,,,,,,,,,
model.13,ok,0.838669760919238,0.6518354457957423,0.1628,0.956253,0.744476,1343.2,252,4.52,6,5
model.14,no_trainable_params,,,,,,,,,,
model.15,no_trainable_params,,,,,,,,,,
model.16,ok,0.775825564410548,0.5846153905962408,0.0956,0.953201,0.739609,1352.1,256,4.52,6,5
model.17,ok,0.7197096521194711,0.5390103923180646,0.05,0.98698,0.74271,1346.4,250,4.52,6,5
model.18,no_trainable_params,,,,,,,,,,
model.19,ok,0.7693705611115097,0.5685141915410628,0.0795,0.992599,0.754364,1325.6,237,4.55,6,5
model.20,ok,0.696530157331425,0.4948665197208303,0.0059,0.987747,0.741341,1348.9,242,4.5,6,5
model.21,no_trainable_params,,,,,,,,,,
model.22,ok,0.6949409643531715,0.48735961050361365,-0.0016,0.993347,0.756569,1321.8,238,4.5,6,5
model.23,ok,0.7171559609794048,0.5024703127700512,0.0135,0.97316,0.758514,1318.4,238,4.56,5,1
