epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,626.563,0.78266,0.36391,0.00285,0.90554,0.84026,0.90956,0.68358,1.02532,0.62588,0.01012,0.000666153,0.000666153,0.000666153
2,1230.32,0.87497,0.42261,0.00333,0.89514,0.79514,0.88667,0.66136,1.04012,0.75612,0.00928,0.00120087,0.00120087,0.00120087
3,1819.17,0.90125,0.42864,0.00346,0.91816,0.80221,0.89804,0.68385,1.0075,0.68122,0.00913,0.00160359,0.00160359,0.00160359
4,2408.92,0.88473,0.41935,0.00339,0.9039,0.85075,0.91289,0.7124,0.96283,0.60941,0.00814,0.001406,0.001406,0.001406
5,3013.48,0.84819,0.38806,0.00317,0.91384,0.83358,0.91317,0.70677,0.96271,0.63673,0.00805,0.001208,0.001208,0.001208
6,3605.75,0.80845,0.36418,0.00298,0.93128,0.84845,0.92353,0.72312,0.9292,0.57336,0.00797,0.00101,0.00101,0.00101
7,4214.86,0.77112,0.34339,0.00279,0.92213,0.83286,0.91509,0.72713,0.89874,0.61986,0.00741,0.000812,0.000812,0.000812
8,4818.65,0.74423,0.32662,0.00263,0.92944,0.86381,0.92608,0.73377,0.8891,0.55899,0.00798,0.000614,0.000614,0.000614
9,5421.72,0.72131,0.312,0.00253,0.91112,0.84097,0.91263,0.71614,0.92435,0.59849,0.00867,0.000416,0.000416,0.000416
10,6019.31,0.69939,0.30388,0.00243,0.92222,0.8649,0.93177,0.74266,0.87143,0.54013,0.00769,0.000218,0.000218,0.000218
