layer,subpath,op_type,medianMs,name80
model.0,conv,reformat/copy,0.03136,Reformatting CopyNode for Input Tensor 0 to /model.0/conv/Conv
model.0,conv,conv only,0.01248,/model.0/conv/Conv
model.0,act,standalone SiLU,0.00848,"PWN(PWN(/model.0/act/Sigmoid), PWN(/model.0/act/Mul))"
model.0,act,reformat/copy,0.0,"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.0/act/Sigmoid), PWN(/"
model.1,conv,conv+SiLU fused,0.014688,"/model.1/conv/Conv + PWN(PWN(/model.1/act/Sigmoid), PWN(/model.1/act/Mul))"
model.1,conv,reformat/copy,0.0,Reformatting CopyNode for Input Tensor 0 to /model.1/conv/Conv + PWN(PWN(/model.
model.10,cv2,conv+SiLU fused,0.009856,"/model.10/cv2/conv/Conv + PWN(PWN(/model.10/cv2/act/Sigmoid), PWN(/model.10/cv2/"
model.10,cv1,conv+SiLU fused,0.009824,"/model.10/cv1/conv/Conv + PWN(PWN(/model.10/cv1/act/Sigmoid), PWN(/model.10/cv1/"
model.10,m,conv+SiLU fused,0.009088,/model.10/m/m.0/ffn/ffn.0/conv/Conv + PWN(PWN(/model.10/m/m.0/ffn/ffn.0/act/Sigm
model.10,m,attention,0.008992,/model.10/m/m.0/attn/MatMul_1_myl85_4
model.10,m,conv only,0.008224,/model.10/m/m.0/attn/qkv/conv/Conv
model.10,m,conv only,0.008192,/model.10/m/m.0/ffn/ffn.1/conv/Conv + /model.10/m/m.0/Add_1
model.10,m,conv only,0.007936,/model.10/m/m.0/attn/proj/conv/Conv + /model.10/m/m.0/Add
model.10,m,attention,0.007712,/model.10/m/m.0/attn/MatMul_myl85_1
model.10,cv2,reformat/copy,0.006688,/model.10/cv2/act/Mul_output_0 copy
model.10,m,conv only,0.006656,/model.10/m/m.0/attn/pe/conv/Conv
model.10,m,reformat/copy,0.006528,Reformatting CopyNode for Input Tensor 0 to /model.10/m/m.0/attn/proj/conv/Conv 
model.10,Split_output_0,reformat/copy,0.006496,/model.10/Split_output_0 copy
