name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
"Reformatting CopyNode for Input Tensor 0 to /model.0/conv/Conv + PWN(PWN(/model.0/act/Sigmoid), PWN(/model.0/act/Mul))",0.0139869,0.013792,0.869788,model.0,conv,True,False,True,True,True,reformat,False,PTQ
"/model.0/conv/Conv + PWN(PWN(/model.0/act/Sigmoid), PWN(/model.0/act/Mul))",0.0166878,0.01664,1.03774,model.0,conv,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.1/conv/Conv + PWN(PWN(/model.1/act/Sigmoid), PWN(/model.1/act/Mul))",0.0126351,0.012608,0.785721,model.1,conv,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.2/cv1/conv/Conv + PWN(PWN(/model.2/cv1/act/Sigmoid), PWN(/model.2/cv1/act/Mul))",0.00980534,0.00976,0.609753,model.2,cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.2/Split_1,0.010925,0.010784,0.679379,model.2,,False,False,False,False,False,other,False,PTQ
"/model.2/m.0/cv1/conv/Conv + PWN(PWN(/model.2/m.0/cv1/act/Sigmoid), PWN(/model.2/m.0/cv1/act/Mul))",0.0119419,0.011936,0.742614,model.2,m.0/cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.2/m.0/cv2/conv/Conv + PWN(PWN(PWN(/model.2/m.0/cv2/act/Sigmoid), PWN(/model.2/m.0/cv2/act/Mul)), PWN(/model.2/m.0/Add))",0.0153801,0.015264,0.956423,model.2,m.0/cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.2/Split_output_0 copy,0.00877139,0.008608,0.545456,model.2,,False,False,False,False,False,other,False,PTQ
/model.2/Split_output_1 copy,0.00707348,0.00704,0.43987,model.2,,False,False,False,False,False,other,False,PTQ
/model.2/m.0/Add_output_0 copy,0.00705045,0.006976,0.438437,model.2,,False,False,False,False,False,other,False,PTQ
"Reformatting CopyNode for Input Tensor 0 to /model.2/cv2/conv/Conv + PWN(PWN(/model.2/cv2/act/Sigmoid), PWN(/model.2/cv2/act/Mul))",0.00887254,0.008768,0.551746,model.2,cv2,True,False,True,True,True,reformat,False,PTQ
"/model.2/cv2/conv/Conv + PWN(PWN(/model.2/cv2/act/Sigmoid), PWN(/model.2/cv2/act/Mul))",0.0118816,0.011808,0.738868,model.2,cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.3/conv/Conv + PWN(PWN(/model.3/act/Sigmoid), PWN(/model.3/act/Mul))",0.0114725,0.011424,0.713428,model.3,conv,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
