,QAT,PTQ,FP16,QAT-PTQ,QAT-FP16
other/glue,0.4663,0.0956,0.1184,0.3707,0.3478
model.23,0.2677,0.239,0.2537,0.0287,0.014
model.16,0.1574,0.139,0.1208,0.0184,0.0366
model.22,0.1224,0.1672,0.1449,-0.0448,-0.0225
model.13,0.1148,0.1112,0.1242,0.0036,-0.0093
model.6,0.1144,0.1104,0.1169,0.004,-0.0025
model.8,0.1092,0.1045,0.1163,0.0047,-0.0071
model.19,0.1074,0.1044,0.1171,0.003,-0.0097
model.10,0.1015,0.1698,0.1207,-0.0683,-0.0192
model.2,0.0755,0.0909,0.0902,-0.0155,-0.0147
model.4,0.065,0.0729,0.0738,-0.0079,-0.0088
model.9,0.0634,0.0706,0.066,-0.0072,-0.0027
model.0,0.0166,0.0304,0.0523,-0.0138,-0.0357
model.11,0.0128,0.0137,0.0148,-0.0008,-0.002
model.1,0.0126,0.0126,0.0147,-0.0,-0.0021
model.5,0.0116,0.0121,0.014,-0.0005,-0.0025
model.3,0.0114,0.0114,0.0141,-0.0,-0.0027
model.7,0.0109,0.011,0.0125,-0.0001,-0.0016
model.20,0.0108,0.0108,0.0128,-0.0001,-0.002
model.17,0.0097,0.0098,0.012,-0.0,-0.0023
model.14,0.0071,0.0144,0.0149,-0.0073,-0.0078
TOTAL,1.8685,1.6018,1.6252,0.2668,0.2434
