layer,match,l1_divergence,QAT_k,PTQ_k,dk,QAT_ms,PTQ_ms,dms
other/glue,DIVERGENT,65,71,6,65,0.4663,0.0956,0.3707
model.10,DIVERGENT,14,14,24,-10,0.1015,0.1698,-0.0683
model.4,DIVERGENT,13,8,9,-1,0.065,0.0729,-0.0079
model.13,DIVERGENT,11,15,14,1,0.1148,0.1112,0.0036
model.8,DIVERGENT,11,14,13,1,0.1092,0.1045,0.0047
model.22,DIVERGENT,10,16,22,-6,0.1224,0.1672,-0.0448
model.2,DIVERGENT,10,7,9,-2,0.0755,0.0909,-0.0155
model.16,DIVERGENT,10,19,17,2,0.1574,0.139,0.0184
model.6,DIVERGENT,7,15,14,1,0.1144,0.1104,0.004
model.19,DIVERGENT,7,14,13,1,0.1074,0.1044,0.003
model.23,DIVERGENT,6,33,27,6,0.2677,0.239,0.0287
model.0,PARTIAL,1,1,2,-1,0.0166,0.0304,-0.0138
model.9,PARTIAL,1,8,9,-1,0.0634,0.0706,-0.0072
model.14,PARTIAL,1,1,2,-1,0.0071,0.0144,-0.0073
model.1,EXACT,0,1,1,0,0.0126,0.0126,-0.0
model.11,EXACT,0,2,2,0,0.0128,0.0137,-0.0008
model.17,EXACT,0,1,1,0,0.0097,0.0098,-0.0
model.20,EXACT,0,1,1,0,0.0108,0.0108,-0.0001
model.3,EXACT,0,1,1,0,0.0114,0.0114,-0.0
model.5,EXACT,0,1,1,0,0.0116,0.0121,-0.0005
model.7,EXACT,0,1,1,0,0.0109,0.011,-0.0001
