epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,462.196,1.26824,2.66436,0.00462,0.82161,0.79844,0.86827,0.66863,0.96276,0.95501,0.00541,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077
2,785.065,1.20331,0.92799,0.00425,0.8306,0.79452,0.84545,0.62093,1.01122,0.94971,0.00645,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215
3,1068.37,1.27401,0.86026,0.0046,0.8511,0.72308,0.82989,0.58632,1.17093,1.03373,0.00915,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153
4,1338.76,1.30227,0.83132,0.00479,0.87558,0.80954,0.88,0.65407,1.0883,0.81089,0.00914,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1605.48,1.22447,0.72661,0.00439,0.89856,0.79266,0.87688,0.61192,1.21524,0.88437,0.01069,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1873.38,1.18292,0.6899,0.00427,0.86612,0.82621,0.88278,0.65279,1.10346,0.79198,0.00909,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2155.01,1.14028,0.64232,0.00402,0.91779,0.85363,0.92234,0.70572,0.98975,0.65283,0.00803,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2437.41,1.11038,0.60313,0.00393,0.94163,0.84677,0.92271,0.70582,1.02219,0.63443,0.0087,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2718.59,1.09347,0.59676,0.00376,0.94193,0.86259,0.92624,0.74275,0.91292,0.58008,0.00706,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2986.66,1.0765,0.56401,0.00369,0.92105,0.80926,0.8949,0.70687,0.92809,0.76339,0.00783,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3268.57,1.04909,0.54922,0.00359,0.91311,0.83716,0.90351,0.70394,0.97341,0.70179,0.00862,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3549.77,1.03689,0.54148,0.00349,0.92217,0.84878,0.91913,0.71295,0.99841,0.6376,0.00933,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3837.07,1.0211,0.5263,0.00347,0.94195,0.79131,0.88285,0.70781,0.91857,0.75937,0.008,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4118.47,1.001,0.50531,0.00338,0.93069,0.87965,0.9392,0.75302,0.89734,0.55368,0.00737,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4384.91,0.99489,0.50164,0.00332,0.92188,0.83975,0.92002,0.73288,0.88566,0.61289,0.00728,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4657.57,0.98165,0.49203,0.00326,0.92411,0.79518,0.88655,0.70467,0.95189,0.7317,0.00843,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4932.15,0.97052,0.48932,0.00324,0.92083,0.79562,0.8681,0.69391,0.95423,0.79687,0.00913,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5195.23,0.96039,0.47294,0.00323,0.91496,0.79894,0.89028,0.71372,0.8895,0.7496,0.00765,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5458.77,0.94334,0.45986,0.00311,0.93929,0.84944,0.92447,0.75471,0.85304,0.59454,0.00681,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5737.14,0.94124,0.4534,0.00309,0.93801,0.83599,0.91512,0.74939,0.8333,0.64347,0.00656,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,6020.18,0.91793,0.44031,0.00303,0.94026,0.86306,0.93553,0.77637,0.80489,0.56518,0.00627,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,6294.16,0.91327,0.43864,0.003,0.94435,0.85331,0.92319,0.76039,0.81045,0.60067,0.00649,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6558.3,0.90727,0.43641,0.00295,0.94394,0.8676,0.92832,0.76986,0.82947,0.57234,0.00673,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,6823.5,0.89027,0.42192,0.00289,0.93073,0.83849,0.90791,0.75034,0.83917,0.67482,0.00689,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,7087.12,0.88298,0.41628,0.00284,0.94364,0.82138,0.91447,0.74929,0.84399,0.66743,0.00731,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,7350.69,0.87267,0.41242,0.0028,0.9378,0.8225,0.90874,0.74787,0.84381,0.66479,0.00745,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7614.92,0.86724,0.41052,0.00277,0.93,0.85789,0.92238,0.75842,0.83572,0.61799,0.00742,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,7880.28,0.85035,0.40347,0.00272,0.92242,0.85452,0.92475,0.77396,0.79253,0.61371,0.00615,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,8145.79,0.85342,0.40008,0.00273,0.9227,0.83545,0.9065,0.75139,0.81413,0.68719,0.0067,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,8432.99,0.84176,0.39862,0.00266,0.93079,0.83723,0.90947,0.75133,0.82716,0.65778,0.00708,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8707.15,0.82854,0.38849,0.00264,0.93491,0.84212,0.9053,0.75078,0.83271,0.67129,0.00722,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8972.47,0.81386,0.38138,0.00257,0.94535,0.84366,0.91457,0.76068,0.82033,0.64433,0.00681,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9245.48,0.80773,0.37426,0.00254,0.93999,0.86437,0.92787,0.77639,0.79859,0.57429,0.00668,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9523.28,0.7986,0.37925,0.00251,0.93801,0.86485,0.93394,0.78147,0.78805,0.55993,0.00635,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9788.31,0.79,0.37558,0.00249,0.94027,0.84474,0.92735,0.772,0.81003,0.57737,0.0068,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10053.1,0.7831,0.3653,0.00242,0.94238,0.83778,0.9206,0.76883,0.80867,0.60688,0.00688,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10318,0.77436,0.35938,0.00241,0.92888,0.83399,0.91301,0.7605,0.8133,0.64916,0.00695,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10582.6,0.76935,0.35777,0.00237,0.92774,0.83495,0.9118,0.75845,0.80893,0.6604,0.00682,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10856.5,0.75854,0.35385,0.00234,0.92642,0.8386,0.91409,0.76052,0.80575,0.64429,0.00686,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,11139.3,0.75276,0.3474,0.00233,0.92404,0.84577,0.91769,0.76709,0.79877,0.62033,0.00681,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,11402.4,0.68777,0.30321,0.00237,0.92766,0.84976,0.91897,0.76728,0.79572,0.61142,0.0068,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11662.1,0.67749,0.29319,0.00233,0.93308,0.83812,0.91108,0.75932,0.80145,0.63982,0.00692,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11919.8,0.66461,0.28882,0.00226,0.9353,0.84537,0.91757,0.76278,0.79979,0.6231,0.00688,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,12178.5,0.65617,0.28776,0.00221,0.93238,0.85008,0.9194,0.76401,0.79974,0.61593,0.00689,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,12439.3,0.64431,0.27641,0.00216,0.93221,0.85164,0.92027,0.76606,0.80316,0.60194,0.00699,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
