epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1172.85,0.81189,0.3871,0.00258,0.92201,0.86736,0.92506,0.73385,0.88333,0.60059,0.00668,0.00999615,0.00333205,0.00999615,0.00333205,0.00999615,0.00333205,0.00999615,0.00333205
2,2150.95,0.87244,0.4247,0.00286,0.91258,0.82697,0.89265,0.68773,0.99453,0.73625,0.00852,0.0196002,0.00653341,0.0196002,0.00653341,0.0196002,0.00653341,0.0196002,0.00653341
3,3084.79,0.95179,0.47692,0.00321,0.91574,0.81233,0.88106,0.65788,1.08521,0.78752,0.00933,0.0288083,0.00960277,0.0288083,0.00960277,0.0288083,0.00960277,0.0288083,0.00960277
4,4004.86,1.03192,0.54235,0.00358,0.91834,0.7618,0.85058,0.61863,1.18768,0.91681,0.01088,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4928.7,1.02002,0.53198,0.00355,0.90573,0.81142,0.88067,0.63937,1.11916,0.81663,0.00924,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5851.81,1.02327,0.53043,0.00357,0.92214,0.86175,0.91797,0.68475,1.03535,0.62549,0.00934,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6762.86,1.02783,0.52985,0.00359,0.92996,0.82035,0.89415,0.67786,1.03717,0.77964,0.0091,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7687.27,1.0094,0.51723,0.00346,0.90291,0.79881,0.8776,0.67196,0.98036,0.79325,0.00786,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8666.7,1.00285,0.51262,0.00344,0.89133,0.78239,0.87085,0.66565,1.03963,0.80161,0.00994,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,10127.4,0.99236,0.50631,0.00342,0.92644,0.8428,0.90834,0.7071,0.97609,0.70501,0.00785,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,11668.6,0.9892,0.49602,0.00338,0.91998,0.81863,0.91024,0.71118,0.94978,0.68696,0.00809,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
