epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,811.518,0.80436,0.38033,0.00252,0.93125,0.84219,0.90817,0.72169,0.87839,0.65959,0.00722,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077
2,1560.35,0.86173,0.40493,0.00274,0.93301,0.84322,0.91171,0.71622,0.92093,0.66131,0.00748,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215
3,2238.92,0.93332,0.45847,0.00309,0.91363,0.79479,0.88092,0.67254,1.03207,0.77071,0.0097,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153
4,2900.36,1.01359,0.51978,0.00345,0.9348,0.82665,0.90642,0.68708,0.99953,0.68274,0.00829,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3585.85,1.01416,0.52092,0.00347,0.91604,0.86864,0.92901,0.71892,0.95568,0.58413,0.00768,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4244.69,1.00624,0.51344,0.00341,0.92682,0.86629,0.93199,0.73955,0.88752,0.54831,0.0066,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4902.7,1.01011,0.51508,0.00343,0.94,0.88057,0.93908,0.72624,0.94606,0.5567,0.00753,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5564.62,1.00051,0.50637,0.00339,0.92578,0.81146,0.88685,0.68212,0.96141,0.75967,0.00768,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6247.52,0.9897,0.4968,0.00331,0.92586,0.85167,0.91185,0.70428,0.93932,0.62559,0.00757,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6897.16,0.98222,0.48684,0.00333,0.91226,0.85018,0.91521,0.70073,0.99124,0.65649,0.00842,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
