epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,806.259,0.80435,0.37938,0.00251,0.93242,0.8012,0.87546,0.69616,0.90202,0.80728,0.00773,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077
2,1501.29,0.85969,0.40281,0.00273,0.91625,0.80292,0.88534,0.68237,0.98671,0.73787,0.00913,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215
3,2156.88,0.92691,0.45817,0.00307,0.90358,0.83667,0.91385,0.70941,0.95348,0.65619,0.00765,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153
4,2832.34,1.01476,0.5194,0.00346,0.91421,0.81704,0.89051,0.64693,1.05458,0.77786,0.0087,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3488.41,1.01401,0.52354,0.00348,0.92264,0.81725,0.90104,0.6967,0.96952,0.70009,0.00788,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4133.19,1.00508,0.51625,0.00341,0.93489,0.77736,0.85815,0.64837,1.00792,0.87568,0.00893,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4775.31,1.00717,0.50793,0.00341,0.91695,0.87388,0.93427,0.71475,0.97495,0.57628,0.00823,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5426.66,0.99844,0.50505,0.00339,0.92202,0.78108,0.85734,0.6527,1.02101,0.87558,0.00924,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6068.34,0.98945,0.49432,0.00331,0.85899,0.74904,0.83295,0.60963,1.10838,0.96396,0.01071,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6710.85,0.98045,0.48832,0.00331,0.90347,0.79941,0.87616,0.67327,0.94318,0.82737,0.00802,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,7355.24,0.97228,0.48015,0.00324,0.94671,0.86277,0.92499,0.73674,0.88012,0.58617,0.00689,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,8015.82,0.97467,0.47777,0.00327,0.90509,0.82538,0.90375,0.71247,0.91134,0.67688,0.00753,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,8660.63,0.96602,0.47638,0.00323,0.92212,0.79361,0.86894,0.66781,0.99565,0.84754,0.00872,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,9304.89,0.96003,0.46675,0.00324,0.92564,0.84315,0.90983,0.71441,0.92128,0.635,0.00795,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,9948.38,0.94872,0.46086,0.00318,0.93477,0.82118,0.89982,0.70506,0.92533,0.69202,0.00767,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10599.7,0.94551,0.45133,0.00312,0.93909,0.85913,0.92973,0.73847,0.87697,0.56449,0.00736,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,11252.1,0.94013,0.44101,0.00311,0.94065,0.84129,0.921,0.74081,0.8497,0.5861,0.00698,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,11903.3,0.93373,0.43929,0.00309,0.94641,0.8297,0.9062,0.73801,0.82931,0.651,0.00673,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,12555.3,0.92644,0.43865,0.00303,0.92894,0.84425,0.92101,0.74017,0.84584,0.59774,0.00659,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,13206.9,0.91512,0.43495,0.00299,0.93589,0.85678,0.92103,0.74161,0.84556,0.61055,0.00665,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,13858,0.91175,0.427,0.00296,0.90049,0.81801,0.89703,0.72548,0.83831,0.70336,0.0067,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,14520.6,0.90332,0.42213,0.00293,0.91536,0.8415,0.92288,0.74397,0.8321,0.60215,0.00667,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,15184.6,0.89748,0.41387,0.00288,0.92361,0.83454,0.91358,0.73557,0.8486,0.63323,0.00684,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,15831.6,0.89079,0.41966,0.00288,0.92485,0.77337,0.85383,0.67636,0.88912,0.92638,0.00761,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,16497.8,0.87973,0.40362,0.00283,0.93445,0.85729,0.93039,0.75928,0.81929,0.55222,0.00665,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,17146.6,0.87229,0.40324,0.0028,0.92313,0.83041,0.8985,0.72231,0.8829,0.70806,0.00751,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,17793.9,0.85529,0.39242,0.00277,0.93407,0.82764,0.90841,0.73433,0.84969,0.65633,0.0072,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,18448.7,0.85783,0.39397,0.00276,0.92719,0.80526,0.88921,0.71652,0.85771,0.75288,0.00715,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,19110.7,0.84863,0.38068,0.00271,0.9326,0.80831,0.89141,0.71204,0.85911,0.72926,0.00712,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,19762,0.84109,0.38236,0.00267,0.91597,0.82669,0.89978,0.71603,0.86586,0.69329,0.00749,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,20408.9,0.83414,0.37634,0.00264,0.92734,0.8537,0.92276,0.74368,0.83426,0.58087,0.00705,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,21058.9,0.82862,0.37188,0.00262,0.9267,0.84124,0.92051,0.74643,0.83235,0.58748,0.00698,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,21699.9,0.81559,0.36345,0.00256,0.91479,0.83006,0.90534,0.73708,0.83293,0.65345,0.00697,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,22345.2,0.80939,0.35915,0.00257,0.91791,0.8293,0.89985,0.7303,0.84434,0.66279,0.00705,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,22995.8,0.79938,0.35876,0.00251,0.91767,0.80778,0.87515,0.70838,0.85674,0.77471,0.00741,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
