epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,809.814,0.80435,0.37938,0.00251,0.93242,0.8012,0.87546,0.69616,0.90202,0.80728,0.00773,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077
2,1531.28,0.86171,0.40535,0.00275,0.91825,0.831,0.90815,0.71136,0.92569,0.67047,0.00795,0.0195928,0.00653095,0.0195928,0.00653095,0.0195928,0.00653095,0.0195928,0.00653095
3,2213.29,0.92983,0.46332,0.00308,0.89267,0.80685,0.89204,0.67568,0.99114,0.73328,0.00843,0.0287938,0.00959793,0.0287938,0.00959793,0.0287938,0.00959793,0.0287938,0.00959793
4,2879.84,1.00833,0.51758,0.00344,0.91144,0.8132,0.882,0.6337,1.09731,0.80641,0.00912,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006
5,3540.34,1.00792,0.52128,0.00344,0.91332,0.83982,0.91733,0.69451,1.03173,0.63386,0.0085,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008
6,4221.54,1.00584,0.51177,0.00343,0.91766,0.86485,0.92932,0.72868,0.92066,0.5964,0.00716,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001
7,4905.39,1.00971,0.5143,0.00344,0.9082,0.80244,0.89513,0.67055,1.00115,0.73697,0.00846,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012
8,5580.84,1.0036,0.51028,0.00341,0.91702,0.86705,0.92683,0.69993,0.96858,0.61066,0.0075,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014
9,6254.99,0.99425,0.49366,0.00333,0.93304,0.83006,0.91048,0.70815,0.93145,0.65004,0.00742,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016
10,6935.61,0.98721,0.48953,0.00334,0.90675,0.82235,0.91259,0.70691,0.9247,0.65868,0.00752,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018
11,7636.65,0.97222,0.47406,0.00323,0.91979,0.8603,0.91871,0.70973,0.97245,0.56262,0.00924,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002
12,8307.27,0.97227,0.47036,0.00326,0.8925,0.80802,0.90111,0.68615,0.97603,0.71505,0.00835,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
13,8971.5,0.96643,0.47387,0.00324,0.91489,0.81725,0.90037,0.6952,0.93094,0.69286,0.00759,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024
14,9636.12,0.95913,0.46669,0.00325,0.92158,0.84749,0.92289,0.72854,0.8787,0.59545,0.00713,0.0222078,0.0074026,0.0222078,0.0074026,0.0222078,0.0074026,0.0222078,0.0074026
15,10296.8,0.94634,0.45561,0.00317,0.94202,0.82152,0.91704,0.72837,0.90166,0.62436,0.0078,0.0216084,0.0072028,0.0216084,0.0072028,0.0216084,0.0072028,0.0216084,0.0072028
16,10964.1,0.94656,0.44718,0.00313,0.92591,0.78685,0.8845,0.68405,0.96958,0.76005,0.00832,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003
