epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1372.23,0.78939,0.37204,0.00247,0.9406,0.80905,0.88715,0.70677,0.88479,0.78175,0.0073,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077
2,2747.17,0.85137,0.39751,0.00271,0.90307,0.81703,0.88308,0.69643,0.95849,0.70171,0.00917,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215,0.0195964,0.00653215
3,4430.36,0.92242,0.45526,0.00304,0.92364,0.79326,0.87809,0.67099,1.01643,0.79503,0.0085,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153,0.0288046,0.00960153
4,6253.8,1.00176,0.51316,0.00342,0.93633,0.8438,0.91988,0.70363,0.97245,0.61947,0.00753,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,8103.25,1.00245,0.51546,0.00342,0.92794,0.7948,0.87921,0.6692,1.00668,0.81493,0.00801,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,9912.84,1.00118,0.51138,0.0034,0.93092,0.83356,0.91008,0.70067,0.95984,0.66787,0.00796,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,11493.8,1.0056,0.50874,0.00342,0.9026,0.85859,0.91661,0.7194,0.92976,0.60804,0.00743,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,12756.4,0.99676,0.50021,0.00337,0.93773,0.85379,0.92183,0.71232,0.96408,0.61702,0.0076,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,13646,0.99125,0.48834,0.00332,0.92611,0.82283,0.91093,0.687,1.0085,0.66962,0.00813,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,14311.3,0.9759,0.483,0.00329,0.9382,0.85534,0.92914,0.73311,0.92024,0.59119,0.00746,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,14976.8,0.96935,0.4754,0.00324,0.93919,0.85006,0.92332,0.73208,0.90196,0.6021,0.00715,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,15642.7,0.96896,0.46736,0.00325,0.94436,0.87739,0.93551,0.7545,0.8539,0.53621,0.00668,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,16300.2,0.96581,0.47344,0.00324,0.93718,0.85142,0.91531,0.72029,0.89331,0.63106,0.00685,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,16959,0.95517,0.45636,0.00321,0.92922,0.85012,0.92608,0.73178,0.88636,0.59493,0.00702,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,17614.2,0.94611,0.45274,0.00317,0.92269,0.85009,0.92124,0.73187,0.87451,0.58317,0.00707,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,18298.5,0.94065,0.4435,0.00311,0.94384,0.88792,0.94136,0.76125,0.83815,0.5082,0.00631,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,18990,0.93541,0.44526,0.0031,0.94138,0.85086,0.93174,0.74466,0.88632,0.57245,0.00745,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,19678.4,0.92828,0.43997,0.00307,0.94169,0.88489,0.94034,0.75379,0.86534,0.52974,0.00709,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,20352.7,0.91997,0.43296,0.00301,0.9181,0.84246,0.91371,0.71626,0.94849,0.63876,0.00854,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,21044,0.91201,0.4295,0.00298,0.94968,0.89722,0.94438,0.75988,0.85617,0.4921,0.00706,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,21719.6,0.90951,0.42608,0.00296,0.93402,0.87305,0.93512,0.75227,0.84911,0.53184,0.00687,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,22390.9,0.89838,0.41717,0.00291,0.93779,0.89123,0.94281,0.76735,0.82294,0.48797,0.00669,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,23082,0.89716,0.41837,0.0029,0.93149,0.87153,0.93594,0.75623,0.8316,0.52768,0.00645,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,23765.8,0.88209,0.41524,0.00285,0.92538,0.83377,0.91119,0.7335,0.86384,0.65131,0.0071,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,24454.4,0.87497,0.39907,0.00281,0.93579,0.87339,0.93551,0.75629,0.83582,0.5348,0.00687,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,25142.6,0.86658,0.40116,0.00278,0.93132,0.8136,0.89382,0.71298,0.9029,0.70426,0.00809,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,26158.3,0.84969,0.39094,0.00275,0.92468,0.80927,0.88991,0.70441,0.90306,0.74824,0.00812,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
